id,split
1,train
2,train
3,train
4,train
5,val
7,val
8,train
9,val
10,val
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
20,val
21,train
22,train
23,val
24,train
25,train
27,train
28,train
29,train
30,val
31,train
32,train
33,train
34,train
35,val
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,val
48,train
50,train
52,train
53,train
54,train
55,val
56,train
57,train
58,val
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,val
71,train
72,train
73,train
74,train
75,train
76,train
77,train
78,train
79,train
80,val
81,train
82,train
83,train
85,train
86,val
87,train
88,val
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,train
97,train
98,val
99,train
100,train
101,val
102,train
103,train
104,train
105,train
106,val
107,train
108,train
109,train
110,train
111,train
112,train
113,val
114,train
115,train
116,train
117,train
118,val
119,train
120,val
121,val
122,train
123,train
124,val
126,train
127,train
128,train
129,val
130,val
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,val
139,train
140,train
141,train
142,train
143,val
144,train
145,train
146,train
147,train
148,val
149,train
150,train
151,train
152,train
153,train
154,val
155,train
156,train
157,train
158,val
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,train
172,train
173,train
174,val
175,train
176,train
177,train
178,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,train
194,train
195,val
196,train
197,val
198,train
199,train
200,train
201,train
202,train
203,train
204,val
205,val
206,train
207,train
208,train
209,val
210,val
211,train
212,val
213,train
214,train
215,val
216,train
217,train
218,val
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
229,train
230,train
231,train
232,train
233,train
234,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
244,val
245,val
246,train
247,train
248,train
249,train
250,val
252,train
253,train
254,train
256,train
257,train
258,train
260,train
261,train
262,train
263,train
264,train
265,val
266,train
267,train
268,train
269,train
270,train
271,train
272,train
273,train
274,val
275,train
276,train
277,val
278,train
279,train
280,train
281,train
282,train
283,train
284,val
285,val
287,train
288,train
289,train
290,train
291,train
292,train
293,train
294,train
295,train
296,train
297,train
298,val
299,train
300,train
301,train
302,train
303,train
304,train
305,train
306,val
307,train
308,train
309,val
310,train
311,val
312,train
313,train
314,train
315,train
316,train
318,train
319,train
320,train
321,train
322,train
323,train
324,train
326,val
327,val
328,val
329,train
330,train
331,train
332,val
333,train
334,train
335,train
336,train
337,val
338,train
339,train
340,train
341,train
342,train
343,val
344,val
345,train
346,train
347,val
348,train
349,train
350,train
351,train
352,val
353,train
354,train
355,train
356,train
357,train
358,val
359,train
360,train
361,val
362,train
363,train
364,train
365,train
366,val
367,train
369,train
370,val
372,val
373,val
374,train
375,train
376,val
377,train
379,train
380,val
381,train
382,train
383,train
384,train
385,val
386,train
387,train
388,val
389,train
390,train
391,train
392,train
393,train
394,val
395,train
396,train
397,train
398,val
399,val
400,val
401,train
402,train
403,train
404,val
405,val
406,val
407,train
408,train
409,train
410,train
411,train
412,train
413,train
414,val
415,val
416,train
417,val
418,train
419,train
420,train
421,train
422,train
423,val
424,val
425,train
426,train
427,val
428,train
429,val
430,val
431,val
432,train
433,train
434,train
435,train
436,val
437,train
438,train
439,train
440,train
441,train
442,train
443,train
444,train
445,train
446,train
447,train
448,train
450,train
451,train
452,train
453,train
454,val
455,train
456,train
457,train
458,train
459,train
460,train
461,train
462,train
463,val
464,train
465,train
467,train
468,train
469,train
470,train
471,train
472,train
473,train
474,train
475,train
476,train
477,train
479,train
480,train
481,train
482,val
483,train
484,train
485,val
486,train
488,train
489,train
491,val
492,train
495,train
496,train
497,train
499,train
501,train
502,train
503,train
504,train
505,train
507,val
508,train
509,val
510,train
511,val
512,train
513,train
516,train
517,train
520,train
521,train
522,train
523,val
524,train
525,train
526,train
527,val
528,train
529,train
530,train
531,val
532,train
533,train
536,train
538,train
540,val
